District,School,Subject,Scored,County,Year,Baseline,Score
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,39,Columbia,2017,Advanced,46.2
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,40,Columbia,2017,Advanced,2.5
BERWICK AREA SD,BERWICK AREA HS,Math,157,Columbia,2017,Advanced,35
BERWICK AREA SD,BERWICK AREA HS,Science,156,Columbia,2017,Advanced,29.5
BERWICK AREA SD,BERWICK AREA HS,English,155,Columbia,2017,Advanced,3.2
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,109,Columbia,2017,Advanced,21.1
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,109,Columbia,2017,Advanced,37.6
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,110,Columbia,2017,Advanced,6.4
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,122,Columbia,2017,Advanced,27
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,125,Columbia,2017,Advanced,40.8
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,125,Columbia,2017,Advanced,12.8
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,152,Columbia,2017,Advanced,10.5
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,152,Columbia,2017,Advanced,12.5
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,152,Columbia,2017,Advanced,2
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,45,Columbia,2017,Advanced,37.8
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,45,Columbia,2017,Advanced,20
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,45,Columbia,2017,Advanced,13.3
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,93,Columbia,2017,Advanced,9.7
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,93,Columbia,2017,Advanced,30.1
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,93,Columbia,2017,Advanced,4.3
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,14,Columbia,2017,Advanced,0
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,14,Columbia,2017,Advanced,0
SUSQ-CYBER CS,SUSQ-CYBER CS,English,14,Columbia,2017,Advanced,0
DANVILLE AREA SD,DANVILLE AREA SHS,Math,135,Montour,2017,Advanced,43
DANVILLE AREA SD,DANVILLE AREA SHS,Science,140,Montour,2017,Advanced,52.1
