District,School,Subject,Scored,County,Year,Baseline,Score
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,114,Columbia,2022,Basic,50.9
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,141,Columbia,2022,Basic,45.4
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,144,Columbia,2022,Basic,43.1
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,11,Columbia,2022,Basic,9.1
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,30,Columbia,2022,Basic,36.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,32,Columbia,2022,Basic,21.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,43,Columbia,2022,Basic,0
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,77,Columbia,2022,Basic,36.4
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,79,Columbia,2022,Basic,15.2
SUSQ-CYBER CS,SUSQ-CYBER CS,English,11,Columbia,2022,Basic,27.3
DANVILLE AREA SD,DANVILLE AREA SHS,Math,108,Montour,2022,Basic,12
DANVILLE AREA SD,DANVILLE AREA SHS,Science,82,Montour,2022,Basic,25.6
DANVILLE AREA SD,DANVILLE AREA SHS,English,135,Montour,2022,Basic,11.1
BENTON AREA SD,BENTON AREA HS,Math,16,Columbia,2022,BelowBasic,6.3
BENTON AREA SD,BENTON AREA HS,Science,24,Columbia,2022,BelowBasic,20.8
BENTON AREA SD,BENTON AREA HS,English,38,Columbia,2022,BelowBasic,15.8
BERWICK AREA SD,BERWICK AREA HS,Math,70,Columbia,2022,BelowBasic,8.6
BERWICK AREA SD,BERWICK AREA HS,Science,121,Columbia,2022,BelowBasic,29.8
BERWICK AREA SD,BERWICK AREA HS,English,135,Columbia,2022,BelowBasic,17.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,45,Columbia,2022,BelowBasic,4.4
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,37,Columbia,2022,BelowBasic,16.2
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,88,Columbia,2022,BelowBasic,2.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,92,Columbia,2022,BelowBasic,1.1
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,92,Columbia,2022,BelowBasic,10.9
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,134,Columbia,2022,BelowBasic,3.7
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,114,Columbia,2022,BelowBasic,26.3
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,141,Columbia,2022,BelowBasic,27
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,144,Columbia,2022,BelowBasic,22.9
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,11,Columbia,2022,BelowBasic,9.1
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,30,Columbia,2022,BelowBasic,13.3
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,32,Columbia,2022,BelowBasic,9.4
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,43,Columbia,2022,BelowBasic,4.7
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,77,Columbia,2022,BelowBasic,7.8
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,79,Columbia,2022,BelowBasic,3.8
SUSQ-CYBER CS,SUSQ-CYBER CS,English,11,Columbia,2022,BelowBasic,18.2
DANVILLE AREA SD,DANVILLE AREA SHS,Math,108,Montour,2022,BelowBasic,2.8
DANVILLE AREA SD,DANVILLE AREA SHS,Science,82,Montour,2022,BelowBasic,4.9
DANVILLE AREA SD,DANVILLE AREA SHS,English,135,Montour,2022,BelowBasic,1.5
