Subject,Scored,Year,Top,Baseline,Score,WScore,District,School,County,SchoolNum
English,745248,2016,60.5,Top,60.5,45087504,,,0,NA
Math,745782,2016,42.5,Top,42.5,31695735,,,0,NA
Science,246773,2016,66.9,Top,66.9,16509114,,,0,NA
English,745248,2016,60.5,Advanced,19.1,14234237,,,0,NA
Math,745782,2016,42.5,Advanced,17.6,13125764,,,0,NA
Science,246773,2016,66.9,Advanced,33.4,8242219,,,0,NA
English,745248,2016,60.5,Proficient,41.4,30853268,,,0,NA
Math,745782,2016,42.5,Proficient,24.9,18569972,,,0,NA
Science,246773,2016,66.9,Proficient,33.5,8266896,,,0,NA
English,745248,2016,60.5,Basic,28.8,21463143,,,0,NA
Math,745782,2016,42.5,Basic,26.7,19912380,,,0,NA
Science,246773,2016,66.9,Basic,14.5,3578209,,,0,NA
English,745248,2016,60.5,BelowBasic,10.8,8048679,,,0,NA
Math,745782,2016,42.5,BelowBasic,30.9,23044664,,,0,NA
Science,246773,2016,66.9,BelowBasic,18.6,4589978,,,0,NA
English,206,2016,75.3,Top,75.3,15512,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
Math,206,2016,50.5,Top,50.5,10403,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
Science,56,2016,100,Top,100,5600,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
English,111,2016,65.7,Top,65.7,7293,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
Math,111,2016,23.400000000000002,Top,23.400000000000002,2598,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
Science,61,2016,77,Top,77,4697,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
English,664,2016,55.6,Top,55.6,36919,BERWICK AREA SD,BERWICK AREA MS,1,000006808
Math,663,2016,34.8,Top,34.8,23073,BERWICK AREA SD,BERWICK AREA MS,1,000006808
Science,203,2016,58.1,Top,58.1,11795,BERWICK AREA SD,BERWICK AREA MS,1,000006808
English,90,2016,67.7,Top,67.7,6093,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
Math,90,2016,64.4,Top,64.4,5797,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
Science,36,2016,88.9,Top,88.9,3201,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
English,113,2016,68.10000000000001,Top,68.10000000000001,7696,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
Math,113,2016,70.80000000000001,Top,70.80000000000001,8001,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
Science,40,2016,85,Top,85,3400,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
English,206,2016,58.2,Top,58.2,11990,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
Math,205,2016,52.7,Top,52.7,10804,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
Science,63,2016,85.7,Top,85.7,5400,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
English,220,2016,62.7,Top,62.7,13794,BERWICK AREA SD,SALEM EL SCH,1,000001597
Math,220,2016,70,Top,70,15400,BERWICK AREA SD,SALEM EL SCH,1,000001597
Science,74,2016,85.1,Top,85.1,6298,BERWICK AREA SD,SALEM EL SCH,1,000001597
English,57,2016,78.9,Top,78.9,4498,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
Math,57,2016,73.7,Top,73.7,4201,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
Science,16,2016,93.8,Top,93.8,1501,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
English,384,2016,65.2,Top,65.2,25037,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
Math,384,2016,41.7,Top,41.7,16013,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
Science,112,2016,72.4,Top,72.4,8109,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
English,194,2016,72.2,Top,72.2,14007,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
Math,193,2016,53.900000000000006,Top,53.900000000000006,10403,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
Science,67,2016,80.6,Top,80.6,5401,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
English,110,2016,67.3,Top,67.3,7403,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
Math,110,2016,65.4,Top,65.4,7195,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
Science,35,2016,94.2,Top,94.2,3297,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
English,274,2016,76.30000000000001,Top,76.30000000000001,20907,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
Math,274,2016,65.7,Top,65.7,18002,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
Science,141,2016,95.7,Top,95.7,13494,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
English,565,2016,69.5,Top,69.5,39268,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
Math,564,2016,62.800000000000004,Top,62.800000000000004,35420,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
Science,145,2016,75.19999999999999,Top,75.19999999999999,10904,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
English,178,2016,58.4,Top,58.4,10396,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
Math,179,2016,32.9,Top,32.9,5890,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
Science,46,2016,84.8,Top,84.8,3901,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
English,119,2016,48.699999999999996,Top,48.699999999999996,5796,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
Math,117,2016,31.6,Top,31.6,3698,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
Science,60,2016,45,Top,45,2700,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
English,205,2016,65.9,Top,65.9,13510,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
Math,206,2016,65,Top,65,13390,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
Science,94,2016,91.5,Top,91.5,8601,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
