Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
English,6,125341,2018,,,State,BelowBasic,5.3,6644
English,7,124226,2018,,,State,BelowBasic,2.5,3106
English,8,124907,2018,,,State,BelowBasic,7.8,9743
Math,3,122563,2018,,,State,BelowBasic,24.5,30028
Math,4,126481,2018,,,State,BelowBasic,29.8,37692
Math,5,126868,2018,,,State,BelowBasic,28.7,36412
Math,6,125385,2018,,,State,BelowBasic,29.7,37240
Math,7,124225,2018,,,State,BelowBasic,37.8,46958
Math,8,124780,2018,,,State,BelowBasic,41.1,51285
Science,4,126353,2018,,,State,BelowBasic,5.4,6824
Science,8,124417,2018,,,State,BelowBasic,22.2,27621
English,3,45,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,8.9,5
English,4,60,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,5,3
English,5,45,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,2.2,1
English,6,58,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,0,0
Math,3,45,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,11.1,5
Math,4,60,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,25,15
Math,5,45,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,13.3,6
Math,6,58,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,17.2,10
Science,4,60,2018,BENTON AREA SD,APPLEMAN EL SCH,Columbia,BelowBasic,0,0
English,7,41,2018,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,BelowBasic,4.9,3
English,8,58,2018,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,BelowBasic,1.7,1
Math,7,41,2018,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,BelowBasic,31.7,13
Math,8,58,2018,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,BelowBasic,29.3,17
Science,8,58,2018,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,BelowBasic,6.9,5
English,5,223,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,4.9,11
English,6,231,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,3.5,9
English,7,215,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,1.4,4
English,8,209,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,13.4,29
Math,5,222,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,21.2,48
Math,6,233,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,27,63
Math,7,213,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,34.7,74
Math,8,210,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,46.7,99
Science,8,208,2018,BERWICK AREA SD,BERWICK AREA MS,Columbia,BelowBasic,28.8,60
English,3,27,2018,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,BelowBasic,0,0
English,4,36,2018,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,BelowBasic,2.8,2
Math,3,27,2018,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,BelowBasic,3.7,1
Math,4,37,2018,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,BelowBasic,18.9,7
Science,4,37,2018,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,BelowBasic,2.7,1
English,3,73,2018,BERWICK AREA SD,SALEM EL SCH,Columbia,BelowBasic,2.7,2
English,4,64,2018,BERWICK AREA SD,SALEM EL SCH,Columbia,BelowBasic,0,0
Math,3,73,2018,BERWICK AREA SD,SALEM EL SCH,Columbia,BelowBasic,6.8,5
Math,4,64,2018,BERWICK AREA SD,SALEM EL SCH,Columbia,BelowBasic,6.3,5
Science,4,63,2018,BERWICK AREA SD,SALEM EL SCH,Columbia,BelowBasic,0,0
English,3,83,2018,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,BelowBasic,7.2,6
English,4,113,2018,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,BelowBasic,2.7,4
Math,3,83,2018,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,BelowBasic,20.5,18
Math,4,113,2018,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,BelowBasic,11.5,13
Science,4,112,2018,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,BelowBasic,0.9,2
English,3,14,2018,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,BelowBasic,0,0
English,4,14,2018,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,BelowBasic,0,0
English,5,18,2018,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,BelowBasic,0,0
Math,3,13,2018,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,BelowBasic,7.7,2
Math,4,14,2018,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,BelowBasic,0,0
Math,5,18,2018,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,BelowBasic,0,0
Science,4,14,2018,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,BelowBasic,0,0
English,6,121,2018,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,BelowBasic,4.1,5
English,7,123,2018,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,BelowBasic,0,0
English,8,122,2018,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,BelowBasic,0.8,1
Math,6,121,2018,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,BelowBasic,25.6,31
Math,7,125,2018,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,BelowBasic,26.4,33
Math,8,123,2018,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,BelowBasic,38.2,47
Science,8,122,2018,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,BelowBasic,9,11
English,3,52,2018,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,BelowBasic,3.8,2
English,4,65,2018,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,BelowBasic,4.6,3
English,5,63,2018,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,BelowBasic,1.6,2
Math,3,53,2018,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,BelowBasic,7.5,4
Math,4,65,2018,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,BelowBasic,35.4,24
Math,5,63,2018,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,BelowBasic,14.3,10
Science,4,65,2018,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,BelowBasic,3.1,3
English,3,34,2018,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,BelowBasic,5.9,3
English,4,30,2018,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,BelowBasic,3.3,1
English,5,35,2018,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,BelowBasic,2.9,2
Math,3,34,2018,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,BelowBasic,11.8,5
Math,4,30,2018,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,BelowBasic,16.7,6
Math,5,34,2018,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,BelowBasic,14.7,5
Science,4,30,2018,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,BelowBasic,0,0
English,3,133,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,BelowBasic,6.8,10
English,4,132,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,BelowBasic,5.3,7
Math,3,132,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,BelowBasic,11.4,16
Math,4,132,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,BelowBasic,8.3,11
Science,4,132,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,BelowBasic,0.8,2
English,5,151,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,5.3,9
English,6,146,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,1.4,3
English,7,147,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,0.7,2
English,8,135,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,4.4,6
Math,5,149,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,9.4,15
Math,6,147,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,8.8,13
Math,7,147,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,15.6,23
Math,8,135,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,14.1,20
Science,8,135,2018,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,BelowBasic,10.4,15
English,3,57,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,7,4
English,4,42,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,2.4,2
English,5,37,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,2.7,1
English,6,49,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,0,0
Math,3,57,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,21.1,13
Math,4,42,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,28.6,13
Math,5,37,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,21.6,8
Math,6,48,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,8.3,4
Science,4,42,2018,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,BelowBasic,0,0
English,7,36,2018,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,BelowBasic,0,0
English,8,60,2018,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,BelowBasic,6.7,5
Math,7,37,2018,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,BelowBasic,43.2,16
Math,8,60,2018,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,BelowBasic,61.7,38
Science,8,60,2018,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,BelowBasic,15,9
English,3,91,2018,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,BelowBasic,8.8,9
English,4,100,2018,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,BelowBasic,2,2
Math,3,91,2018,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,BelowBasic,7.7,8
Math,4,100,2018,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,BelowBasic,18,18
Science,4,100,2018,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,BelowBasic,2,2
English,5,111,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,3.6,4
English,6,105,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,1.9,2
English,7,96,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,2.1,3
English,8,128,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,6.3,9
Math,5,111,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,17.1,19
Math,6,104,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,16.3,17
Math,7,96,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,19.8,20
Math,8,128,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,39.1,51
Science,8,128,2018,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,BelowBasic,19.5,25
English,6,172,2018,DANVILLE AREA SD,DANVILLE AREA MS,Montour,BelowBasic,0.6,2
English,7,176,2018,DANVILLE AREA SD,DANVILLE AREA MS,Montour,BelowBasic,0.6,2
English,8,187,2018,DANVILLE AREA SD,DANVILLE AREA MS,Montour,BelowBasic,3.7,7
Math,6,174,2018,DANVILLE AREA SD,DANVILLE AREA MS,Montour,BelowBasic,16.7,30
Math,7,176,2018,DANVILLE AREA SD,DANVILLE AREA MS,Montour,BelowBasic,26.7,47
Math,8,189,2018,DANVILLE AREA SD,DANVILLE AREA MS,Montour,BelowBasic,31.2,59
Science,8,189,2018,DANVILLE AREA SD,DANVILLE AREA MS,Montour,BelowBasic,16.4,31
English,3,158,2018,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,BelowBasic,7.6,13
English,4,166,2018,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,BelowBasic,3,5
English,5,166,2018,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,BelowBasic,4.8,8
Math,3,158,2018,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,BelowBasic,11.4,19
Math,4,166,2018,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,BelowBasic,17.5,30
Math,5,166,2018,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,BelowBasic,8.4,14
Science,4,166,2018,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,BelowBasic,1.2,2
English,3,120564,2019,,,State,Top,61.9,74630
English,4,123172,2019,,,State,Top,63.599999999999994,78338
English,5,127550,2019,,,State,Top,58.5,74617
English,6,127560,2019,,,State,Top,63,80363
English,7,125998,2019,,,State,Top,60.5,76229
English,8,123503,2019,,,State,Top,57.9,71509
Math,3,120604,2019,,,State,Top,56,67539
Math,4,123286,2019,,,State,Top,46.2,56959
Math,5,127592,2019,,,State,Top,43,54865
Math,6,127496,2019,,,State,Top,39,49724
Math,7,125808,2019,,,State,Top,38.2,48059
Math,8,123186,2019,,,State,Top,32.2,39666
Science,4,123093,2019,,,State,Top,77.8,95767
Science,8,122654,2019,,,State,Top,58.2,71385
English,3,53,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,75.4,40
English,4,40,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,67.5,27
English,5,61,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,65.6,41
English,6,41,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,68.3,29
Math,3,53,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,73.5,39
Math,4,40,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,57.5,23
Math,5,61,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,31.2,20
Math,6,41,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,31.8,14
Science,4,40,2019,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,95,38
English,7,58,2019,BENTON AREA SD,BENTON AREA MS,Columbia,Top,67.2,39
English,8,40,2019,BENTON AREA SD,BENTON AREA MS,Columbia,Top,72.5,29
Math,7,58,2019,BENTON AREA SD,BENTON AREA MS,Columbia,Top,31,18
Math,8,40,2019,BENTON AREA SD,BENTON AREA MS,Columbia,Top,40,16
Science,8,40,2019,BENTON AREA SD,BENTON AREA MS,Columbia,Top,70,28
English,5,215,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,64.2,139
English,6,224,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,70.1,158
English,7,226,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,57.5,130
English,8,211,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,55.5,118
Math,5,215,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,48.4,105
Math,6,225,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,32.5,74
Math,7,226,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,35.4,81
Math,8,211,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,27,57
Science,8,211,2019,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,50.7,107
English,3,31,2019,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,77.5,25
English,4,29,2019,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,72.4,21
Math,3,31,2019,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,83.9,27
Math,4,29,2019,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,58.599999999999994,17
Science,4,29,2019,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,79.3,23
English,3,63,2019,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,74.6,47
English,4,71,2019,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,83.1,60
Math,3,63,2019,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,73,46
Math,4,71,2019,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,69.1,50
Science,4,71,2019,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,90.19999999999999,65
English,3,103,2019,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,56.3,58
English,4,79,2019,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,69.6,55
Math,3,103,2019,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,58.3,61
Math,4,79,2019,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,57,46
Science,4,79,2019,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,83.5,66
English,3,13,2019,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,92.30000000000001,12
English,4,14,2019,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,85.7,12
English,5,14,2019,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,64.30000000000001,10
Math,3,13,2019,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,77,11
Math,4,14,2019,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,57.1,8
Math,5,14,2019,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,71.5,11
Science,4,14,2019,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,100,14
English,6,120,2019,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,71.7,87
English,7,117,2019,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,63.3,75
English,8,121,2019,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,57,69
Math,6,119,2019,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,37,45
Math,7,117,2019,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,35.9,43
Math,8,120,2019,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,30.8,37
Science,8,120,2019,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,75.8,91
English,3,66,2019,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,65.1,43
English,4,54,2019,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,66.6,36
English,5,72,2019,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,55.5,40
Math,3,66,2019,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,54.5,36
Math,4,54,2019,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,33.3,18
Math,5,72,2019,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,26.4,20
Science,4,53,2019,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,84.9,45
English,3,26,2019,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,Columbia,Top,42.3,11
English,4,33,2019,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,Columbia,Top,63.7,22
English,5,29,2019,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,Columbia,Top,58.599999999999994,17
Math,3,26,2019,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,Columbia,Top,50,13
Math,4,33,2019,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,Columbia,Top,60.599999999999994,20
Math,5,30,2019,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,Columbia,Top,36.6,11
Science,4,33,2019,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,Columbia,Top,87.9,30
English,3,150,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL SCH,Columbia,Top,80,120
English,4,135,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL SCH,Columbia,Top,74.8,101
Math,3,150,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL SCH,Columbia,Top,74.6,112
Math,4,135,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL SCH,Columbia,Top,64.4,87
Science,4,135,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL SCH,Columbia,Top,85.19999999999999,116
English,5,134,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,68.60000000000001,92
English,6,147,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,79.6,118
English,7,150,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,80,120
English,8,156,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,73.7,115
Math,5,135,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,63.7,86
Math,6,149,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,65.7,98
Math,7,150,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,57.400000000000006,87
Math,8,156,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,53.2,83
Science,8,156,2019,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,75,117
English,3,46,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,80.4,37
English,4,54,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,63,35
English,5,44,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,50,22
English,6,37,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,73,28
Math,3,47,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,76.6,37
Math,4,55,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,41.8,23
Math,5,44,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,20.5,10
Math,6,38,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,36.9,15
Science,4,55,2019,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,Columbia,Top,89.1,50
English,7,49,2019,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,77.5,38
English,8,44,2019,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,70.5,32
Math,7,49,2019,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,49,25
Math,8,44,2019,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,22.8,11
Science,8,44,2019,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,70.4,31
English,3,82,2019,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,70.7,58
English,4,93,2019,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,62.4,59
Math,3,82,2019,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,74.4,62
Math,4,93,2019,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,50.599999999999994,48
Science,4,93,2019,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,78.5,74
English,5,104,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,68.2,71
English,6,112,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,76.8,87
English,7,112,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,75.9,86
English,8,99,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,65.6,65
Math,5,104,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,46.1,48
Math,6,112,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,34.9,40
Math,7,111,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,69.3,77
Math,8,98,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,53.099999999999994,53
Science,8,98,2019,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,69.3,68
English,6,167,2019,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,71.8,120
English,7,175,2019,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,70.9,125
English,8,175,2019,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,73.7,129
Math,6,165,2019,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,49.1,82
Math,7,174,2019,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,60.900000000000006,106
Math,8,173,2019,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,49.7,86
Science,8,171,2019,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,74.19999999999999,127
English,3,162,2019,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,Montour,Top,74.6,121
English,4,162,2019,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,Montour,Top,77.2,126
English,5,170,2019,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,Montour,Top,77.6,132
Math,3,162,2019,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,Montour,Top,66.6,108
Math,4,161,2019,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,Montour,Top,63.3,102
Math,5,170,2019,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,Montour,Top,76.5,131
Science,4,161,2019,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,Montour,Top,85.7,138
English,3,120564,2019,,,State,Advanced,16.5,19894
English,4,123172,2019,,,State,Advanced,27.3,33626
English,5,127550,2019,,,State,Advanced,15.8,20153
English,6,127560,2019,,,State,Advanced,20.8,26533
English,7,125998,2019,,,State,Advanced,14.9,18774
English,8,123503,2019,,,State,Advanced,16,19761
Math,3,120604,2019,,,State,Advanced,26.7,32202
Math,4,123286,2019,,,State,Advanced,19,23425
