Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
Math,7,56,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,33.9,19
Math,8,61,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,29.5,18
Science,8,60,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,45,27
English,3,111,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,67.5,75
English,4,94,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,63.8,60
Math,3,112,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,66.1,75
Math,4,94,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,63.900000000000006,61
Science,4,94,2016,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,91.5,87
English,5,97,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,72.2,71
English,6,122,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,68.9,85
English,7,104,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,70.2,74
English,8,118,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,72,85
Math,5,99,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,47.5,48
Math,6,122,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,43.4,53
Math,7,104,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,53.8,56
Math,8,118,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,25.4,30
Science,8,118,2016,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,74.5,88
English,6,186,2016,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,68.8,128
English,7,194,2016,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,75.8,148
English,8,184,2016,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,66.8,123
Math,6,187,2016,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,49.2,93
Math,7,195,2016,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,42.6,84
Math,8,186,2016,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,37.1,70
Science,8,185,2016,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,66.5,124
English,3,165,2016,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,70.30000000000001,116
English,4,170,2016,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,74.2,127
English,5,168,2016,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,71.4,120
Math,3,166,2016,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,57.2,95
Math,4,172,2016,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,59.3,102
Math,5,168,2016,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,66.6,112
Science,4,171,2016,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,83.1,143
English,3,125284,2016,,,State,Advanced,15.2,19044
English,4,123597,2016,,,State,Advanced,24.6,30405
English,5,122868,2016,,,State,Advanced,16.2,19905
English,6,125263,2016,,,State,Advanced,22.7,28435
English,7,124961,2016,,,State,Advanced,18.1,22618
English,8,123275,2016,,,State,Advanced,17.5,21574
