SchoolNum,District,School,Subject,Grade,Scored,County,Year,Baseline,Score
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,English,School Total,194,Columbia,2016,Advanced,16
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Math,3,62,Columbia,2016,Advanced,29
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Math,4,67,Columbia,2016,Advanced,17.9
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Math,5,64,Columbia,2016,Advanced,23.4
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Math,School Total,193,Columbia,2016,Advanced,23.3
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Science,4,67,Columbia,2016,Advanced,35.8
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Science,School Total,67,Columbia,2016,Advanced,35.8
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,English,3,39,Columbia,2016,Advanced,7.7
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,English,4,35,Columbia,2016,Advanced,31.4
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,English,5,36,Columbia,2016,Advanced,8.3
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,English,School Total,110,Columbia,2016,Advanced,15.5
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Math,3,39,Columbia,2016,Advanced,33.3
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Math,4,35,Columbia,2016,Advanced,40
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Math,5,36,Columbia,2016,Advanced,27.8
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Math,School Total,110,Columbia,2016,Advanced,33.6
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Science,4,35,Columbia,2016,Advanced,57.1
000001608,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Science,School Total,35,Columbia,2016,Advanced,57.1
000007201,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,English,3,133,Columbia,2016,Advanced,15.8
000007201,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,English,4,141,Columbia,2016,Advanced,50.4
000007201,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,English,School Total,274,Columbia,2016,Advanced,33.6
000007201,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Math,3,133,Columbia,2016,Advanced,33.1
000007201,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Math,4,141,Columbia,2016,Advanced,36.2
000007201,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Math,School Total,274,Columbia,2016,Advanced,34.7
000007201,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Science,4,141,Columbia,2016,Advanced,69.5
000007201,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Science,School Total,141,Columbia,2016,Advanced,69.5
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,English,5,141,Columbia,2016,Advanced,15.6
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,English,6,120,Columbia,2016,Advanced,29.2
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,English,7,158,Columbia,2016,Advanced,22.2
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,English,8,146,Columbia,2016,Advanced,19.9
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,English,School Total,565,Columbia,2016,Advanced,21.4
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Math,5,141,Columbia,2016,Advanced,22
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Math,6,120,Columbia,2016,Advanced,29.2
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Math,7,158,Columbia,2016,Advanced,27.2
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Math,8,145,Columbia,2016,Advanced,37.9
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Math,School Total,564,Columbia,2016,Advanced,29.1
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Science,8,145,Columbia,2016,Advanced,48.3
000005390,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Science,School Total,145,Columbia,2016,Advanced,48.3
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,English,3,35,Columbia,2016,Advanced,17.1
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,English,4,46,Columbia,2016,Advanced,32.6
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,English,5,39,Columbia,2016,Advanced,7.7
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,English,6,58,Columbia,2016,Advanced,12.1
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,English,School Total,178,Columbia,2016,Advanced,17.4
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Math,3,36,Columbia,2016,Advanced,27.8
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Math,4,46,Columbia,2016,Advanced,13
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Math,5,39,Columbia,2016,Advanced,2.6
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Math,6,58,Columbia,2016,Advanced,6.9
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Math,School Total,179,Columbia,2016,Advanced,11.7
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Science,4,46,Columbia,2016,Advanced,50
000007064,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Science,School Total,46,Columbia,2016,Advanced,50
000001623,MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,7,57,Columbia,2016,Advanced,12.3
000001623,MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,8,62,Columbia,2016,Advanced,4.8
000001623,MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,School Total,119,Columbia,2016,Advanced,8.4
000001623,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,7,56,Columbia,2016,Advanced,10.7
000001623,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,8,61,Columbia,2016,Advanced,11.5
000001623,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,School Total,117,Columbia,2016,Advanced,11.1
000001623,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,8,60,Columbia,2016,Advanced,23.3
000001623,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,School Total,60,Columbia,2016,Advanced,23.3
000006900,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,English,3,111,Columbia,2016,Advanced,20.7
000006900,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,English,4,94,Columbia,2016,Advanced,11.7
000006900,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,English,School Total,205,Columbia,2016,Advanced,16.6
000006900,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Math,3,112,Columbia,2016,Advanced,29.5
000006900,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Math,4,94,Columbia,2016,Advanced,27.7
000006900,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Math,School Total,206,Columbia,2016,Advanced,28.6
000006900,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Science,4,94,Columbia,2016,Advanced,43.6
000006900,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Science,School Total,94,Columbia,2016,Advanced,43.6
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,English,5,97,Columbia,2016,Advanced,19.6
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,English,6,122,Columbia,2016,Advanced,28.7
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,English,7,104,Columbia,2016,Advanced,15.4
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,English,8,118,Columbia,2016,Advanced,14.4
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,English,School Total,441,Columbia,2016,Advanced,19.7
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Math,5,99,Columbia,2016,Advanced,21.2
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Math,6,122,Columbia,2016,Advanced,13.1
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Math,7,104,Columbia,2016,Advanced,11.5
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Math,8,118,Columbia,2016,Advanced,5.9
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Math,School Total,443,Columbia,2016,Advanced,12.6
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Science,8,118,Columbia,2016,Advanced,34.7
000007668,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Science,School Total,118,Columbia,2016,Advanced,34.7
000003424,DANVILLE AREA SD,DANVILLE AREA MS,English,6,186,Montour,2016,Advanced,26.9
